Date,Time,UpTick,UpVolume,DownTick,DownVolume,UnchVolume,Open,High,Low,Close,Volume,OI,QryIndex
20220704,1354,13,17,14,17,0,14179,14180,14177,14179,34,,714
20220704,1355,6,16,12,20,0,14180,14181,14179,14180,36,,715
20220704,1356,11,23,25,69,0,14179,14179,14176,14178,92,,716
20220704,1357,7,9,6,6,0,14180,14180,14178,14180,15,,717
20220704,1358,1,1,6,8,0,14179,14180,14179,14179,9,,718
20220704,1359,13,23,8,9,0,14179,14181,14179,14179,32,,719
20220704,1400,12,26,40,113,0,14181,14181,14172,14173,139,,720
20220704,1401,62,139,58,98,0,14174,14182,14169,14182,237,,721
20220704,1402,30,48,15,21,0,14182,14184,14179,14181,69,,722
20220704,1403,12,15,13,18,0,14180,14181,14177,14180,33,,723
20220704,1404,12,16,11,18,0,14179,14180,14175,14178,34,,724
20220704,1405,13,25,1,1,0,14178,14181,14177,14181,26,,725
20220704,1406,17,34,7,14,0,14181,14181,14178,14181,48,,726
20220704,1407,14,16,35,64,0,14180,14181,14172,14173,80,,727
20220704,1408,15,22,10,15,0,14173,14177,14173,14175,37,,728
20220704,1409,22,32,17,77,0,14175,14176,14171,14176,109,,729
20220704,1410,8,13,9,11,0,14175,14177,14175,14176,24,,730
20220704,1411,17,22,22,56,0,14175,14176,14171,14176,78,,731
20220704,1412,8,13,3,3,0,14177,14178,14175,14176,16,,732
20220704,1413,3,8,12,34,0,14175,14175,14171,14171,42,,733
20220704,1414,7,8,9,17,0,14172,14173,14170,14170,25,,734
20220704,1415,6,12,37,60,0,14170,14170,14166,14167,72,,735
20220704,1416,20,34,18,24,0,14167,14170,14166,14170,58,,736
20220704,1417,21,50,25,65,0,14170,14170,14164,14169,115,,737
20220704,1418,19,29,3,3,0,14170,14175,14168,14175,32,,738
20220704,1419,5,6,9,18,0,14174,14175,14173,14175,24,,739
20220704,1420,13,18,10,18,0,14175,14177,14175,14175,36,,740
20220704,1421,17,48,9,17,0,14176,14177,14172,14173,65,,741
